Symbol,UUID,PublishTime,Title,Description,AssetTags,SearchTags
MMM,fb148ba7-7e5f-4291-b989-594c107804c6,2021-10-01T21:39:01.000Z,3M hit with $8.2 million verdict in fourth military earplug trial,"A federal jury on Friday awarded a U.S. Army veteran $8.2 million after finding that combat earplugs sold by 3M Co caused him to suffer hearing loss and tinnitus, the biggest verdict yet against the company in mass tort litigation over the product.",3M Co-MMM NYSE-MMM US,MMM
MMM,15c422c5-936e-4dca-a459-9b6e79301f7d,2021-10-05T21:49:48.000Z,A new mandate for board leaders emerges from the pandemic,"Executives from Ulta Beauty, Heidrick & Struggles, 3M and Chevron share their experiences leading through the pandemic.",3M Co-MMM NYSE-MMM US,MMM
MMM,46bf30fb-06c4-470b-84ff-4fcdf2b7ef42,2021-10-06T22:18:03.000Z,3M to face four more trials in massive military earplug litigation,A federal judge overseeing thousands of lawsuits by military veterans who say they suffered hearing damage as a result of using defective earplugs sold by 3M Co has scheduled four more trials in the largest multidistrict litigation ever.,3M Co-MMM NYSE-MMM US,MMM
MMM,de576a50-4b9c-4390-ad7e-9b73d232cbd0,2021-10-04T17:59:50.000Z,3M stock hits 7-month low after J.P. Morgan downgrade,"Shares of 3M Co. fell to a more than seven-month low before paring losses, after J.P. Morgan analyst Stephen Tusa downgraded the parent of Post-it and Scotch brands maker of N95 masks, citing a lack of fundamental direction and continued uncertainty regarding environmental liabilities. The stock was down 0.3% in afternoon trading, but was down as much as 1.6% at its intraday low of $173.78, the lowest price seen since Feb. 24. Tusa cut his rating to neutral, after being at overweight since Jan. 27, while trimming his price target to $210 from $215. ""On the liability front, one could argue visibility is worse now than before, and the company's decision to report expenses in the segments, as opposed to breaking them out in corporate, is difficult to understand, while recent ear-plug suits are negative new news,"" Tusa wrote in a note to clients. "" On the businesses, after a short bump on growth off of a bottom, the company is again missing big on margins on only a slight decline in sales and our historical concerns around an impaired business model here remain - economic recovery has not cured this problem, and companies that continually deliver big misses on only minor fundamental bumps are lower quality and deserve a discount."" The stock has shed 11.9% over the past three months, while the Dow Jones Industrial Average has slipped 2.4%.",3M Co-MMM NYSE-MMM US,MMM
MMM,359aceb2-ca04-4f99-9e10-79d876e09ced,2021-10-04T10:53:00.000Z,: 3M downgraded to neutral from overweight at J.P. Morgan,"This is a Real-time headline. These are breaking news, delivered the minute it happens, delivered ticker-tape style. Visit www.marketwatch.com or the quote page for more information about this breaking news.",3M Co-MMM NYSE-MMM US,MMM
MMM,4fc242c4-f0f2-4af7-af23-0da08503d68b,2021-10-14T00:00:00.000Z,This Stock Is Likely A Better Bet Over Corning,"We think that 3M stock currently is a better pick compared to Corning stock, despite Corningâ€™s revenue growing at a faster pace over the recent years, and it trading at a slightly better valuation compared to MMM stock. 3M trades at about 3.0x trailing revenues, compared to 2.4x for Corning...",3M Co-MMM NYSE-MMM US,MMM
MMM,ee9d2cac-a1ef-4664-8810-1539aa7fd993,2021-09-27T20:31:00.000Z,3M Co. stock outperforms market on strong trading day,"Shares of 3M Co. inched 0.41% higher to $181.79 Monday, on what proved to be an all-around mixed trading session for the stock market, with the Dow Jones...",3M Co-MMM NYSE-MMM US,MMM
ABT,98a717ff-5206-4a6b-abfc-6f699587ab11,2021-09-21T21:47:38.000Z,"U.S. government to buy rapid COVID-19 tests from Abbott, Celltrion -official","The U.S. government has agreed to purchase rapid COVID-19 tests from Abbott Laboratories and Celltrion Inc to ship to nursing homes and other high risk populations as part of President Joe Biden's vaccinate or test plans, a senior administration official said on Tuesday.",Abbott Laboratories-ABT NYSE-ABT US,ABT
ABT,c5a41856-8395-4aef-9bd2-8cd16604d278,2021-09-21T21:17:35.000Z,"U.S. government to buy point-of-care COVID-19 tests from Abbott, Celltrion -source","The U.S. government has agreed to purchase point-of care COVID-19 tests from Abbott Laboratories and Celltrion Inc to ship to nursing homes and other high risk populations as part of its broader plan to purchase $2 billion in rapid coronavirus tests, a person familiar with...",Abbott Laboratories-ABT NYSE-ABT US,ABT
ABBV,7366b12d-f085-4ceb-8f16-0126318f9b00,2021-09-17T06:18:53.000Z,Regenxbio Shares Jump After Collaborating With AbbVie on Eye Therapy - Morningstar,Regenxbio Shares Jump After Collaborating With AbbVie on Eye Therapy Morningstar.com,AbbVie-ABBV NYSE-ABBV US,ABBV
ABMD,ac965273-da94-4b7a-bf10-da5e4135beb0,2021-10-05T20:33:00.000Z,Abiomed Inc. stock outperforms market on strong trading day,"Shares of Abiomed Inc. advanced 5.93% to $332.47 Tuesday, on what proved to be an all-around positive trading session for the stock market, with the S&P 500...",Abiomed Inc-ABMD NASDAQ-ABMD US,ABMD
ACN,af41eae5-b530-4539-9941-f03d841d52f7,2021-10-12T21:43:21.000Z,"Lessons from onboarding over 100,000 employees during the pandemic",Accenture CEO Julie Sweet and Flex CEO Revathi Advaithi discuss the mandate for senior leaders to do better for their employees.,Accenture-ACN NYSE-ACN US,ACN
ACN,337cd72a-3639-4040-b658-9032f30020e3,2021-09-23T10:58:16.000Z,"Accenture tops profit expectations and give upbeat outlook, but revenue comes up shy","Shares of Accenture PLC ticked up 0.1% in premarket trading Thursday, after the management consulting and outsourcing services company reported fiscal fourth-quarter profit that topped expectations while revenue came up a bit shy, but also provided an upbeat outlook. Net income for the quarter to Aug. 31 rose to $1.42 billion, or $2.20 a share, from $1.29 billion, or $1.99 a share, in the year-ago period. The FactSet consensus for earnings per share was $2.19. Revenue grew 23.8% to $13.419 billion, just below the FactSet consensus of $13.426 billion. New bookings increased 20% to $59.3 billion. Looking ahead, the company expects first-quarter revenue of $13.90 billion to $14.35 billion, above the FactSet consensus of $13.55 billion, and sees fiscal 2022 EPS of $9.90 to $10.18, compared with expectations of $9.87. The stock has run up 17.1% over the past three months through Wednesday, while the S&P 500 has gained 3.6%. Market Pulse Stories are Rapid-fire, short news bursts on stocks and markets as they move.",Accenture-ACN NYSE-ACN US,ACN
